date,rain_1h_mm,rain_24h_mm,rain_72h_mm,water_level_cm,danger_level_cm,rise_cm_per_hr,soil_moisture_pct,forecast_rain_24h_mm,flood_occurred
synthetic-0040,4.4,19.6,25.5,226.4,450.0,-1.5,53.9,10.3,0
synthetic-0041,8.0,118.3,170.0,431.9,450.0,5.8,84.4,15.3,1
synthetic-0042,0.9,6.0,9.0,280.8,450.0,0.2,42.6,4.4,0
synthetic-0043,0.4,2.0,2.8,301.6,450.0,-1.4,25.9,11.5,0
synthetic-0044,8.0,77.7,118.9,400.5,450.0,12.1,80.0,32.3,1
synthetic-0045,8.8,34.7,48.7,128.2,450.0,2.6,64.2,12.0,0
synthetic-0046,1.1,16.8,33.8,134.8,450.0,2.0,56.7,7.7,0
synthetic-0047,3.5,14.9,15.0,246.7,450.0,-1.0,55.4,12.8,0
synthetic-0048,0.4,1.7,2.2,129.6,450.0,2.8,50.3,0.6,0
synthetic-0049,5.6,24.2,42.1,312.3,450.0,-3.5,34.3,26.6,0
synthetic-0050,5.6,26.6,34.5,291.9,450.0,0.4,38.0,3.6,0
synthetic-0051,2.0,11.1,15.3,151.8,450.0,2.0,60.8,3.8,0
synthetic-0052,0.4,3.9,5.9,248.9,450.0,2.4,61.0,9.4,0
synthetic-0053,4.9,35.3,35.5,246.5,450.0,2.6,35.0,5.7,0
synthetic-0054,3.0,28.8,36.4,184.3,450.0,0.5,36.1,11.1,0
synthetic-0055,0.1,0.4,0.5,242.8,450.0,-0.5,60.1,7.6,0
synthetic-0056,3.4,54.6,84.8,276.1,450.0,11.2,82.3,47.3,1
synthetic-0057,0.3,3.6,4.6,261.3,450.0,-1.9,72.2,21.4,0
synthetic-0058,2.4,10,17.8,348.7,450.0,3.8,76.8,17.7,1
synthetic-0059,10.3,42.5,78.1,118.4,450.0,-0.7,38.1,3.0,0
synthetic-0060,1.8,14.0,14.5,115.8,450.0,2.7,19.8,1.4,0
synthetic-0061,11.6,47.6,53.4,250.9,450.0,3.2,65.6,11.8,0
synthetic-0062,2.4,13.8,19.9,311.4,450.0,0.9,41.4,6.7,0
synthetic-0063,4.5,28.4,52.5,113.7,450.0,3.3,49.8,21.2,0
synthetic-0064,5.9,50.5,94.8,271.8,450.0,-1.7,50.9,6.9,0
synthetic-0065,28.8,109.5,113.3,144.9,450.0,-2.2,59.5,5.7,0
synthetic-0066,1.0,3.6,3.6,166.6,450.0,2.8,39.1,3.9,0
synthetic-0067,19.5,78.5,124.7,440.6,450.0,3.4,80.8,19.7,1
synthetic-0068,14.6,93.2,152.5,338.9,450.0,14.0,77.1,43.3,1
synthetic-0069,1.1,6.0,6.9,151.0,450.0,0.5,62.6,2.6,0
synthetic-0070,0.2,3.1,4.1,198.9,450.0,-0.4,14.4,8.9,0
synthetic-0071,0.9,3.9,6.4,93.2,450.0,-1.1,52.4,43.9,0
synthetic-0072,1.9,30.4,37.2,286.4,450.0,-1.5,47.4,7.0,0
synthetic-0073,1.9,9.7,11.5,180.2,450.0,3.0,64.5,0.7,0
synthetic-0074,24.5,152.4,234.8,226.4,450.0,0.9,44.6,8.9,0
synthetic-0075,7.1,69.1,86.4,229.7,450.0,-2.0,39.3,35.4,0
synthetic-0076,0.3,2.6,3.5,106.9,450.0,2.7,55.3,10.8,0
synthetic-0077,5.2,18.2,32.7,244.7,450.0,3.6,42.8,11.8,0
synthetic-0078,2.8,11.8,16.2,294.4,450.0,0.9,49.9,2.2,0
synthetic-0079,0.4,5.1,8.1,245.0,450.0,-1.0,20.9,8.3,0
synthetic-0080,11.8,60.9,122.0,326.3,450.0,9.5,100,101.6,1
synthetic-0081,32.5,116.4,207.3,150.6,450.0,3.8,61.3,7.6,0
synthetic-0082,3.5,13.2,23.8,200.6,450.0,2.1,62.5,4.9,0
synthetic-0083,2.3,17.7,24.4,302.7,450.0,1.5,37.5,7.3,0
synthetic-0084,1.1,7.8,9.5,312.3,450.0,-0.9,39.3,6.4,0
synthetic-0085,1.2,14.7,27.1,135.8,450.0,-3.9,44.5,6.9,0
synthetic-0086,3.9,14.1,30.8,125.6,450.0,-1.9,49.0,1.2,0
synthetic-0087,0.6,1.9,3.8,202.1,450.0,0.0,37.5,3.8,0
synthetic-0088,3.0,12.0,16.0,297.4,450.0,-3.6,53.4,23.9,0
synthetic-0089,7.0,40.8,89.8,274.6,450.0,0.2,67.4,10.6,0
synthetic-0090,2.6,11.6,14.2,214.2,450.0,-1.6,50.5,4.7,0
synthetic-0091,0.9,4.0,5.8,99.8,450.0,0.4,31.6,20.0,0
synthetic-0092,9.5,59.3,121.5,98.3,450.0,-2.2,54.7,24.5,0
synthetic-0093,1.2,9.2,19.8,182.2,450.0,-0.2,47.8,7.6,0
synthetic-0094,3.8,15.7,29.3,281.8,450.0,1.7,43.7,4.6,0
synthetic-0095,14.3,68.4,76.5,297.2,450.0,3.8,54.6,6.8,0
synthetic-0096,0.8,8.8,12.8,293.3,450.0,3.9,62.6,4.2,0
synthetic-0097,3.5,12.5,16.1,128.2,450.0,4.1,69.4,11.6,0
synthetic-0098,0.8,9.3,16.8,147.4,450.0,4.1,56.6,27.8,0
synthetic-0099,0.9,6.4,7.9,233.8,450.0,-0.8,60.2,22.4,0
synthetic-0100,0.5,4.1,7.3,219.3,450.0,2.2,54.4,45.8,0
synthetic-0101,4.3,17.4,23.3,101.0,450.0,-1.3,44.1,28.1,0
synthetic-0102,1.3,6.5,13.1,229.7,450.0,-0.9,33.5,12.9,0
synthetic-0103,3.7,15.6,21.1,189.2,450.0,-2.3,43.3,1.1,0
synthetic-0104,0.5,2.1,2.8,308.6,450.0,-3.8,48.6,21.3,0
synthetic-0105,6.5,24.6,53.2,166.2,450.0,4.3,80.5,1.8,0
synthetic-0106,9.6,58.6,96.4,271.0,450.0,-1.9,74.8,0.2,0
synthetic-0107,4.5,16.7,17.2,275.0,450.0,1.4,52.4,3.2,0
synthetic-0108,3.1,37.0,55.2,104.2,450.0,2.5,25.6,4.3,0
synthetic-0109,1.3,5.4,9.8,111.9,450.0,1.3,49.7,7.3,0
synthetic-0110,2.3,8.1,12.1,124.8,450.0,-0.3,58.5,8.1,0
synthetic-0111,11.7,62.7,114.3,483.9,450.0,11.1,87.3,49.2,1
synthetic-0112,1.4,6.7,12.0,132.7,450.0,3.3,75.2,7.3,0
synthetic-0113,0.0,0.3,0.6,144.8,450.0,2.3,68.8,0.9,0
synthetic-0114,2.5,30.6,35.9,123.2,450.0,0.6,54.3,23.5,0
synthetic-0115,0.3,2.9,4.0,95.8,450.0,4.0,57.5,3.3,0
synthetic-0116,6.4,83.1,134.3,437.8,450.0,3.1,71.3,67.7,1
synthetic-0117,20.5,120.6,129.4,285.1,450.0,-1.7,52.8,39.9,0
synthetic-0118,2.1,17.4,18.7,294.7,450.0,1.2,57.7,11.2,0
synthetic-0119,2.7,11.9,13.3,313.8,450.0,-1.7,51.9,11.2,0
synthetic-0120,2.6,15.8,22.2,252.2,450.0,1.0,71.0,3.1,0
synthetic-0121,0.4,1.5,1.6,239.6,450.0,-0.3,61.1,30.8,0
synthetic-0122,16.6,125.4,209.9,452.6,450.0,11.7,75.0,46.2,1
synthetic-0123,0.9,6.5,11.3,258.8,450.0,2.7,37.3,41.5,0
synthetic-0124,0.7,3.6,6.9,140.5,450.0,3.5,73.2,5.5,0
synthetic-0125,7.2,28.0,59.2,274.1,450.0,-1.7,40.9,0.3,0
synthetic-0126,0.4,3.0,5.0,159.5,450.0,0.4,56.4,24.5,0
synthetic-0127,21.9,89.8,167.6,138.4,450.0,-1.1,61.6,5.5,0
synthetic-0128,6.5,40.8,64.5,229.0,450.0,-0.2,44.4,13.0,0
synthetic-0129,11.4,76.9,81.1,153.7,450.0,-0.5,39.4,13.2,0
synthetic-0130,0.0,0.1,0.1,137.5,450.0,1.5,63.7,4.8,0
synthetic-0131,0.4,7.2,14.6,202.6,450.0,2.3,31.5,0.9,0
synthetic-0132,10.8,137.5,206.5,399.5,450.0,4.2,73.7,39.0,1
synthetic-0133,15.8,60.6,67.0,409.1,450.0,14.4,93.9,1.4,1
synthetic-0134,2.4,13.3,16.0,179.0,450.0,-0.2,67.7,4.9,0
synthetic-0135,2.2,19.9,39.4,348.6,450.0,7.5,82.9,5.1,1
synthetic-0136,0.8,3.3,5.3,261.0,450.0,-0.2,47.2,17.8,0
synthetic-0137,0.8,8.9,15.7,217.0,450.0,-1.3,39.2,24.0,0
synthetic-0138,10.0,61.2,84.0,331.8,450.0,9.2,93.9,72.3,1
synthetic-0139,15.1,90.9,146.2,464.5,450.0,6.6,91.8,27.3,1
synthetic-0140,2.1,23.5,37.0,191.2,450.0,1.6,34.7,4.7,0
synthetic-0141,15.2,136.1,164.3,347.3,450.0,13.2,82.9,25.3,1
synthetic-0142,1.7,8.7,12.2,125.7,450.0,-0.6,63.8,6.3,0
synthetic-0143,13.8,51.3,107.1,242.6,450.0,-0.2,78.5,12.8,0
synthetic-0144,3.7,13.1,22.5,168.7,450.0,3.5,50.3,6.0,0
synthetic-0145,1.3,7.1,12.9,273.0,450.0,-1.3,30.3,16.1,0
synthetic-0146,0.9,8.3,13.1,171.6,450.0,1.1,64.4,35.4,0
synthetic-0147,0.2,1.2,1.3,112.8,450.0,1.0,26.8,25.8,0
synthetic-0148,0.3,2.1,2.5,126.5,450.0,2.2,32.5,19.9,0
synthetic-0149,2.2,16.9,27.8,189.9,450.0,-0.2,79.3,7.2,0
synthetic-0150,1.4,9.5,12.7,172.8,450.0,6.0,40.9,7.4,0
synthetic-0151,9.6,50.8,104.2,270.3,450.0,1.5,63.7,12.3,0
synthetic-0152,10.3,118.2,246.6,334.1,450.0,1.6,85.5,36.1,1
synthetic-0153,4.8,43.9,70.3,191.5,450.0,0.2,57.8,0.7,0
synthetic-0154,23.9,92.9,124.9,278.8,450.0,-1.6,33.5,1.8,0
synthetic-0155,0.4,2.2,4.5,190.9,450.0,1.3,55.2,3.5,0
synthetic-0156,4.5,58.5,90.7,157.8,450.0,2.5,59.6,19.0,0
synthetic-0157,11.5,74.5,96.1,144.4,450.0,1.8,67.5,11.4,0
synthetic-0158,0.2,1.3,2.2,105.2,450.0,-1.8,52.1,53.4,0
synthetic-0159,3.1,15.1,28.5,147.1,450.0,4.0,57.7,5.1,0
synthetic-0160,3.3,19.9,38.6,100.0,450.0,-3.0,47.2,2.3,0
synthetic-0161,1.5,15.0,15.8,104.2,450.0,0.9,38.6,4.2,0
synthetic-0162,11.5,118.0,224.6,492.6,450.0,6.0,79.1,53.9,1
synthetic-0163,6.2,22.8,43.1,164.7,450.0,1.9,65.1,26.4,0
synthetic-0164,3.8,54.6,102.2,201.9,450.0,2.7,46.7,19.4,0
synthetic-0165,4.1,25.9,44.7,162.3,450.0,3.1,65.6,4.4,0
synthetic-0166,6.1,88.7,189.6,169.3,450.0,2.1,54.9,47.0,0
synthetic-0167,0.4,6.8,13.1,242.9,450.0,1.6,52.6,11.2,0
synthetic-0168,25.9,90.1,163.5,356.1,450.0,4.2,75.1,43.2,1
synthetic-0169,5.1,21.6,24.5,209.1,450.0,-1.8,68.0,3.4,0
synthetic-0170,2.0,7.3,9.9,148.9,450.0,0.4,71.3,67.4,0
synthetic-0171,0.5,2.0,3.6,191.7,450.0,2.2,45.3,1.1,0
synthetic-0172,17.1,68.9,121.7,290.5,450.0,2.4,36.0,31.5,0
synthetic-0173,0.5,1.9,2.8,121.2,450.0,0.6,51.6,9.7,0
synthetic-0174,4.3,62.8,124.8,314.9,450.0,0.0,37.0,17.6,0
synthetic-0175,1.5,15.4,27.3,243.0,450.0,-1.8,80.5,18.2,0
synthetic-0176,1.9,8.5,11.8,102.5,450.0,1.3,61.1,2.2,0
synthetic-0177,5.3,42.4,48.8,280.3,450.0,0.5,76.3,9.6,0
synthetic-0178,2.7,10.5,18.1,301.9,450.0,2.2,73.1,15.3,0
synthetic-0179,12.4,58.9,88.3,234.3,450.0,-2.1,44.9,17.5,0
synthetic-0180,1.0,14.8,20.1,305.2,450.0,-3.1,57.9,13.9,0
synthetic-0181,12.4,52.9,98.6,315.9,450.0,9.7,79.6,43.9,1
synthetic-0182,6.2,55.6,73.4,173.4,450.0,-1.1,50.0,7.5,0
synthetic-0183,10.2,77.6,92.5,408.5,450.0,11.8,85.2,120.1,1
synthetic-0184,1.6,5.6,5.8,202.1,450.0,-1.8,53.4,4.4,0
synthetic-0185,8.6,51.0,91.1,169.4,450.0,2.7,60.5,25.7,0
synthetic-0186,5.4,28.2,41.7,288.6,450.0,0.0,29.8,5.5,0
synthetic-0187,21.3,72.3,82.7,262.0,450.0,-0.6,99.3,13.7,0
synthetic-0188,1.5,23.8,38.0,301.3,450.0,0.5,45.0,8.5,0
synthetic-0189,0.6,6.1,10.5,192.8,450.0,-1.4,43.8,4.8,0
synthetic-0190,5.1,20.2,27.4,165.7,450.0,1.7,38.7,14.8,0
synthetic-0191,2.8,16.8,17.3,221.3,450.0,1.4,31.9,14.0,0
synthetic-0192,4.7,22.9,40.2,220.0,450.0,0.0,35.5,2.2,0
synthetic-0193,0.2,2.4,3.3,97.1,450.0,1.4,52.7,0.2,0
synthetic-0194,0.8,7.9,9.2,297.1,450.0,2.8,37.5,0.8,0
synthetic-0195,4.0,16.3,23.2,160.6,450.0,2.5,84.3,5.0,0
synthetic-0196,4.5,15.5,19.6,227.3,450.0,1.0,65.6,9.8,0
synthetic-0197,0.6,5.1,10.0,248.6,450.0,-0.3,67.7,32.6,0
synthetic-0198,2.1,16.9,22.8,310.5,450.0,2.6,21.1,19.6,0
synthetic-0199,1.4,6.4,13.5,147.7,450.0,-0.8,56.3,9.3,0
synthetic-0200,2.2,14.3,15.2,144.6,450.0,-0.7,38.8,12.2,0
synthetic-0201,0.4,1.6,3.4,91.2,450.0,-3.9,44.3,6.3,0
synthetic-0202,0.6,3.3,5.6,162.3,450.0,-2.2,29.0,1.1,0
synthetic-0203,6.2,41.4,90.9,129.4,450.0,1.4,48.7,30.3,0
synthetic-0204,12.2,41.4,46.7,298.4,450.0,0.7,53.6,10.1,0
synthetic-0205,5.3,67.8,83.5,201.1,450.0,4.1,44.0,7.6,0
synthetic-0206,0.9,9.2,17.6,131.9,450.0,0.2,28.6,10.1,0
synthetic-0207,4.5,34.1,39.9,205.9,450.0,3.0,66.6,2.5,0
synthetic-0208,1.0,4.5,4.6,259.6,450.0,2.1,51.4,15.4,0
synthetic-0209,3.9,49.4,67.8,181.2,450.0,-3.7,54.5,14.6,0
synthetic-0210,0.8,5.2,9.1,139.3,450.0,1.3,61.4,16.5,0
synthetic-0211,0.7,9.5,19.5,239.4,450.0,0.8,66.1,16.9,0
synthetic-0212,10.8,82.1,96.9,103.9,450.0,-1.8,49.7,10.2,0
synthetic-0213,0.3,1.9,2.9,221.2,450.0,2.5,64.7,19.8,0
synthetic-0214,0.2,0.9,1.7,271.6,450.0,0.2,40.2,20.3,0
synthetic-0215,4.6,78.9,167.3,493.7,450.0,9.2,87.8,55.5,1
synthetic-0216,5.9,22.0,32.1,310.1,450.0,-0.8,42.6,59.3,0
synthetic-0217,1.3,7.1,8.6,238.9,450.0,-2.3,49.7,5.1,0
synthetic-0218,3.6,19.5,32.3,90.8,450.0,2.2,56.8,13.4,0
synthetic-0219,0.7,4.3,8.4,152.0,450.0,3.5,45.8,1.4,0
synthetic-0220,17.6,74.6,79.0,112.7,450.0,3.1,59.2,14.6,0
synthetic-0221,0.9,4.0,7.9,284.3,450.0,2.7,61.2,4.1,0
synthetic-0222,1.7,13.7,17.3,162.1,450.0,0.1,62.9,13.0,0
synthetic-0223,42.1,143.5,228.9,475.1,450.0,5.4,79.1,37.5,1
synthetic-0224,2.8,16.7,31.8,161.7,450.0,-0.5,59.3,5.7,0
synthetic-0225,0.4,5.4,9.0,271.3,450.0,2.7,45.2,41.2,0
synthetic-0226,0.4,3.4,4.2,297.5,450.0,1.0,49.6,15.5,0
synthetic-0227,3.7,13.9,21.8,132.3,450.0,0.7,31.0,9.8,0
synthetic-0228,26.8,133.4,172.3,306.5,450.0,6.3,94.7,7.8,0
synthetic-0229,6.6,37.0,48.6,264.5,450.0,-1.3,67.6,5.3,0
synthetic-0230,0.3,1.6,2.3,195.6,450.0,2.9,26.9,5.6,0
synthetic-0231,0.3,2.4,3.3,300.3,450.0,-1.3,47.6,2.0,0
synthetic-0232,1.8,10.4,18.4,244.1,450.0,0.3,82.8,40.8,0
synthetic-0233,1.5,23.8,42.1,252.1,450.0,-3.9,57.5,9.4,0
synthetic-0234,13.6,126.3,253.9,420.3,450.0,0.1,85.7,29.2,1
synthetic-0235,0.0,0.1,0.2,174.0,450.0,-1.7,40.0,11.5,0
synthetic-0236,20.4,80.6,82.3,389.1,450.0,7.8,81.6,141.6,1
synthetic-0237,6.2,24.6,40.2,114.1,450.0,1.4,59.8,2.6,0
synthetic-0238,2.0,7.6,13.8,181.4,450.0,-5.1,36.9,3.1,0
synthetic-0239,2.7,29.3,29.6,111.0,450.0,-1.3,68.1,0.7,0
synthetic-0240,0.9,8.5,9.0,217.3,450.0,1.1,49.8,9.0,0
synthetic-0241,1.9,32.8,54.9,100.5,450.0,4.6,70.4,27.5,0
synthetic-0242,0.5,5.7,6.2,222.1,450.0,0.5,31.3,6.1,0
synthetic-0243,6.2,27.0,59.0,291.7,450.0,-1.1,76.9,1.8,0
synthetic-0244,27.1,111.2,164.1,278.7,450.0,-1.3,76.6,37.2,0
synthetic-0245,15.7,71.3,108.2,380.4,450.0,20.4,73.3,116.2,1
synthetic-0246,0.3,1.3,2.5,269.6,450.0,0.3,49.0,2.0,0
synthetic-0247,5.8,36.0,44.1,159.4,450.0,-0.5,64.2,1.7,0
synthetic-0248,8.7,59.1,79.8,110.9,450.0,-0.9,47.3,5.8,0
synthetic-0249,11.7,138.0,201.0,490.1,450.0,2.9,80.6,52.0,1
synthetic-0250,13.7,66.3,85.9,184.7,450.0,-0.3,55.6,3.5,0
synthetic-0251,6.9,51.5,71.9,303.5,450.0,-0.9,73.1,19.6,0
synthetic-0252,8.6,29.4,40.5,120.6,450.0,-1.6,87.9,2.7,0
synthetic-0253,0.8,5.2,10.2,200.5,450.0,-0.8,49.9,5.7,0
synthetic-0254,7.9,48.0,102.9,392.8,450.0,5.9,80.8,25.5,1
synthetic-0255,1.8,8.7,13.8,245.9,450.0,2.0,30.7,6.3,0
synthetic-0256,2.8,16.1,23.9,267.5,450.0,6.0,75.6,7.8,0
synthetic-0257,1.3,17.7,31.2,267.9,450.0,-2.2,79.6,9.2,0
synthetic-0258,3.8,16.1,23.8,235.6,450.0,6.0,66.8,13.6,0
synthetic-0259,8.0,54.0,82.8,204.9,450.0,-2.1,52.7,10.3,0
synthetic-0260,1.1,13.3,28.7,167.6,450.0,1.4,56.1,6.5,0
synthetic-0261,0.5,2.3,3.5,192.4,450.0,1.1,71.6,7.8,0
synthetic-0262,1.6,5.4,6.4,115.9,450.0,2.2,37.4,13.6,0
synthetic-0263,0.6,2.9,3.5,216.0,450.0,1.9,52.2,6.2,0
synthetic-0264,0.1,0.4,0.6,134.4,450.0,-1.2,46.9,14.6,0
synthetic-0265,15.2,83.3,169.5,132.1,450.0,-0.5,69.7,3.7,0
synthetic-0266,3.1,13.6,26.9,222.1,450.0,-1.7,78.7,11.5,0
synthetic-0267,8.1,52.3,84.4,116.5,450.0,0.1,64.0,14.2,0
synthetic-0268,1.3,7.3,12.1,233.0,450.0,-0.5,34.8,110.5,0
synthetic-0269,1.6,5.7,11.2,102.1,450.0,0.3,56.6,1.8,0
synthetic-0270,2.5,10.2,10.6,183.5,450.0,1.7,40.3,1.0,0
synthetic-0271,0.4,4.8,8.0,127.8,450.0,-2.7,61.5,17.4,0
synthetic-0272,17.5,93.8,174.7,352.5,450.0,0.6,86.0,52.1,1
synthetic-0273,0.4,1.6,2.3,259.1,450.0,-1.8,100,7.2,0
synthetic-0274,16.0,76.6,142.0,143.3,450.0,1.5,36.5,5.2,0
synthetic-0275,0.3,2.2,3.7,136.6,450.0,2.2,60.1,4.0,0
synthetic-0276,1.3,5.1,11.0,283.1,450.0,3.5,52.9,1.2,0
synthetic-0277,17.6,73.4,146.3,118.5,450.0,1.5,46.5,14.9,0
synthetic-0278,0.7,10.1,20.7,150.5,450.0,-1.4,63.4,12.0,0
synthetic-0279,1.1,4.9,9.4,173.0,450.0,2.2,50.9,0.0,0
synthetic-0280,0.9,9.2,13.9,170.6,450.0,2.8,62.2,2.9,0
synthetic-0281,1.6,26.4,48.1,220.0,450.0,-1.6,48.0,5.1,0
synthetic-0282,26.6,92.0,92.1,298.0,450.0,3.7,90.4,34.8,1
synthetic-0283,2.0,17.5,31.2,236.2,450.0,3.0,84.3,3.8,0
synthetic-0284,7.9,35.1,62.7,179.2,450.0,-0.6,76.9,3.2,0
synthetic-0285,17.6,69.2,126.9,320.9,450.0,8.3,84.5,56.3,1
synthetic-0286,2.2,8.2,11.3,105.9,450.0,-1.9,71.3,1.3,0
synthetic-0287,4.7,22.3,22.5,120.0,450.0,1.6,54.6,9.1,0
synthetic-0288,1.4,19.2,21.2,124.1,450.0,-2.1,67.0,23.6,0
synthetic-0289,2.5,13.4,14.7,306.7,450.0,0.1,62.6,3.9,0
synthetic-0290,2.5,14.0,22.7,245.4,450.0,2.2,37.0,4.3,0
synthetic-0291,16.2,89.1,152.7,304.8,450.0,-0.5,55.2,8.3,0
synthetic-0292,15.6,65.0,118.3,119.7,450.0,2.2,40.1,5.5,0
synthetic-0293,11.6,56.1,90.2,149.0,450.0,1.2,56.3,18.7,0
synthetic-0294,1.4,8.1,11.0,108.5,450.0,-2.2,50.3,3.9,0
synthetic-0295,5.6,24.8,26.7,177.9,450.0,-2.0,33.7,13.7,0
synthetic-0296,14.9,63.3,119.6,187.8,450.0,-2.1,60.9,4.4,0
synthetic-0297,16.8,72.8,141.2,306.9,450.0,2.0,94.3,49.4,1
synthetic-0298,0.2,2.0,4.0,150.5,450.0,3.1,38.1,0.4,0
synthetic-0299,14.5,75.8,121.2,287.3,450.0,2.9,77.7,67.9,1
synthetic-0300,7.7,68.9,140.2,252.6,450.0,0.8,72.7,0.5,0
synthetic-0301,1.1,7.2,13.7,299.5,450.0,2.1,40.1,29.4,0
synthetic-0302,0.8,8.1,16.8,151.0,450.0,2.2,61.8,8.4,0
synthetic-0303,11.3,59.8,83.3,105.5,450.0,-1.1,57.7,22.4,0
synthetic-0304,16.8,96.8,165.5,338.4,450.0,12.9,78.6,36.7,1
synthetic-0305,0.4,3.3,4.2,261.1,450.0,0.5,56.7,6.3,0
synthetic-0306,5.7,31.5,35.4,90.3,450.0,-1.6,30.6,15.6,0
synthetic-0307,22.5,100.0,162.3,250.1,450.0,4.3,73.7,27.3,0
synthetic-0308,26.4,90.8,138.2,120.0,450.0,0.8,49.6,10.1,0
synthetic-0309,0.3,4.5,6.0,270.2,450.0,-0.5,31.7,4.6,0
synthetic-0310,6.6,22.7,37.3,125.0,450.0,1.6,69.4,6.3,0
synthetic-0311,0.3,5.5,10.2,117.0,450.0,2.2,74.1,21.0,0
synthetic-0312,2.9,50.9,111.3,170.0,450.0,-2.5,53.1,3.6,0
synthetic-0313,2.3,9.0,9.2,146.2,450.0,-3.0,61.4,1.8,0
synthetic-0314,0.5,2.1,2.8,173.8,450.0,-1.5,39.2,10.5,0
synthetic-0315,19.2,144.5,288.3,369.8,450.0,11.4,97.0,107.1,1
synthetic-0316,14.9,67.3,69.7,399.1,450.0,8.6,88.5,32.9,1
synthetic-0317,0.4,3.6,4.7,153.0,450.0,0.9,52.3,11.6,0
synthetic-0318,14.7,58.8,103.3,120.9,450.0,1.8,84.6,9.0,0
synthetic-0319,10.0,68.2,109.3,170.8,450.0,-1.7,50.2,29.3,0
synthetic-0320,1.4,5.8,9.4,291.5,450.0,0.6,49.9,57.3,0
synthetic-0321,13.0,124.1,272.6,150.0,450.0,2.3,24.4,0.7,0
synthetic-0322,5.4,23.9,47.1,278.8,450.0,1.2,47.3,10.8,0
synthetic-0323,0.1,0.4,0.9,303.2,450.0,-1.9,47.5,2.5,0
synthetic-0324,1.5,5.5,5.5,110.3,450.0,0.7,65.5,9.0,0
synthetic-0325,0.6,2.1,3.6,296.7,450.0,1.5,44.0,0.3,0
