temperature,humidity,rainfall,label
26.95,61.98,926.0,soybean
26.33,88.08,776.6,groundnut
25.36,54.94,547.0,moong
31.15,83.9,658.5,cotton
14.41,67.38,125.4,barley
29.36,62.7,417.9,jowar
27.23,68.28,830.4,soybean
18.95,75.8,267.7,barley
27.98,63.87,752.1,groundnut
33.01,73.1,168.2,watermelon
30.8,70.4,132.2,watermelon
25.53,84.44,640.7,soybean
34.16,57.08,115.7,watermelon
30.42,80.93,586.0,bajra
26.68,68.79,124.9,watermelon
21.05,59.76,696.6,arhar
33.04,76.97,389.9,moong
13.07,61.56,275.4,peas
26.69,49.03,78.1,watermelon
19.55,81.02,332.6,potato
29.86,49.68,1402.8,sugarcane
15.76,55.15,255.5,mustard
18.93,85.14,278.5,wheat
26.54,66.87,748.3,groundnut
19.72,63.72,262.8,mustard
27.78,75.08,921.7,cotton
15.25,45.19,221.2,potato
28.86,55.26,1393.5,sugarcane
28.7,49.65,677.9,arhar
29.58,46.34,129.7,watermelon
30.57,56.51,401.6,bajra
29.24,64.25,853.7,cotton
26.93,78.22,1521.4,sugarcane
34.52,59.96,517.1,bajra
27.48,65.9,1405.2,sugarcane
33.1,83.32,1364.9,sugarcane
14.6,82.48,121.5,barley
27.6,45.36,773.9,groundnut
26.84,77.49,954.7,cotton
17.65,69.32,236.1,barley
10.74,89.94,240.6,wheat
10.12,55.38,232.7,barley
23.68,52.35,939.2,soybean
27.56,79.7,678.3,groundnut
27.93,63.92,204.6,cucumber
17.52,85.3,188.3,potato
24.26,75.17,1784.9,rice
25.12,89.4,1389.3,sugarcane
28.7,45.73,125.6,watermelon
13.7,72.58,162.0,wheat
29.77,41.92,358.9,sunflower
31.15,48.22,118.0,watermelon
10.44,43.02,238.4,peas
25.8,81.81,544.6,sunflower
27.15,49.82,737.0,soybean
11.0,42.13,163.7,mustard
22.71,61.94,508.4,maize
19.73,87.13,189.3,potato
32.93,74.42,173.1,watermelon
10.3,67.23,184.3,wheat
18.91,67.02,194.2,potato
30.16,63.1,160.9,watermelon
26.74,63.13,793.8,soybean
16.25,48.37,169.4,chickpea
15.05,56.35,89.1,chickpea
32.37,57.33,1183.6,sugarcane
31.86,70.07,170.3,watermelon
18.12,70.54,208.0,barley
10.59,60.21,176.8,peas
30.09,47.79,765.4,jowar
30.61,61.06,508.8,jowar
15.33,58.2,335.5,wheat
19.55,50.0,141.4,barley
26.34,61.61,948.6,soybean
32.54,78.65,483.9,moong
28.27,86.82,1279.9,rice
26.16,82.69,331.7,bajra
15.83,69.99,183.1,potato
15.65,80.35,190.8,mustard
11.33,42.88,301.0,wheat
31.24,45.6,363.3,moong
14.98,50.71,200.0,peas
28.99,80.67,808.6,groundnut
16.89,40.82,227.4,wheat
22.58,44.7,119.1,cucumber
19.75,51.56,181.1,chickpea
30.68,55.32,606.0,cotton
24.81,59.85,808.9,soybean
26.05,75.75,764.2,arhar
28.22,61.65,565.9,maize
12.23,48.08,317.5,peas
15.98,61.91,138.3,mustard
25.79,89.5,1101.8,sugarcane
31.81,89.25,402.3,bajra
25.16,40.84,584.4,moong
20.01,49.5,405.6,sunflower
10.26,77.59,163.8,barley
20.45,56.52,142.8,wheat
29.21,62.43,600.6,jowar
15.57,50.22,142.8,barley
18.46,88.47,293.0,potato
28.27,44.38,704.9,groundnut
31.95,53.35,364.3,bajra
15.59,56.57,194.3,barley
27.29,60.44,914.7,soybean
18.15,81.45,120.1,wheat
25.32,63.1,504.8,groundnut
10.0,41.5,141.0,wheat
13.22,64.67,382.7,wheat
31.49,81.62,126.2,watermelon
11.21,41.33,198.1,mustard
30.2,41.63,354.8,moong
10.1,84.55,262.2,mustard
31.39,71.64,619.6,jowar
22.37,56.32,587.8,sunflower
25.7,49.28,458.2,sunflower
20.5,84.05,143.5,mustard
27.98,57.63,397.6,bajra
28.92,47.38,596.7,groundnut
28.36,68.15,798.9,soybean
24.32,52.16,670.3,okra
14.02,47.0,325.0,potato
12.28,86.75,269.3,potato
17.02,41.58,185.2,potato
31.87,68.14,572.0,bajra
32.27,75.3,1739.8,sugarcane
14.68,41.57,280.9,peas
25.6,84.54,1408.0,rice
31.43,81.15,114.7,watermelon
13.55,73.49,386.0,potato
32.09,44.72,457.7,moong
34.41,57.88,139.3,watermelon
27.53,42.91,731.4,jowar
10.79,68.25,347.9,wheat
30.25,44.52,540.1,bajra
24.13,85.11,734.7,cotton
32.57,81.61,825.4,cotton
26.96,82.71,306.5,okra
33.77,78.17,448.8,okra
13.62,59.02,248.7,peas
10.3,88.7,197.8,peas
10.82,65.59,164.7,wheat
16.59,65.5,93.5,barley
13.84,45.27,257.4,potato
17.86,53.23,160.1,potato
12.01,43.46,284.9,potato
23.44,85.59,846.9,soybean
25.3,61.11,926.1,rice
22.86,57.94,817.9,arhar
22.11,67.63,824.9,soybean
27.04,74.13,1271.2,sugarcane
33.42,51.43,382.4,bajra
32.25,65.01,404.7,moong
28.02,89.41,753.8,groundnut
12.69,81.58,324.2,potato
25.5,74.38,864.9,soybean
27.52,85.15,479.5,okra
10.36,61.46,183.1,wheat
11.19,66.18,278.5,mustard
32.74,74.72,575.7,okra
21.76,40.41,609.6,arhar
27.27,55.64,874.4,arhar
31.45,86.26,766.4,okra
21.7,86.8,113.2,chickpea
28.45,59.03,514.0,groundnut
24.19,83.98,346.9,sunflower
30.39,75.15,468.9,bajra
33.45,51.15,468.0,moong
26.76,74.84,501.8,sunflower
26.33,61.36,955.2,soybean
28.98,65.62,549.3,moong
29.36,59.45,633.0,arhar
21.91,73.45,394.7,sunflower
29.53,42.47,364.7,okra
16.99,50.61,260.8,wheat
29.85,79.89,1364.9,rice
12.09,73.77,246.3,peas
26.51,85.93,556.4,bajra
19.31,44.87,225.0,potato
22.86,54.24,716.9,maize
26.89,87.99,164.0,cucumber
17.97,40.9,310.7,peas
30.51,81.42,784.6,okra
18.18,73.12,219.5,wheat
16.83,61.02,351.3,wheat
15.43,65.82,339.4,wheat
15.92,78.92,338.1,peas
20.53,88.11,986.9,arhar
24.96,66.37,1051.3,rice
16.41,83.34,66.4,mustard
29.26,40.22,55.1,watermelon
28.01,44.84,715.5,groundnut
28.7,78.45,728.2,maize
27.05,78.92,1368.8,rice
22.39,58.02,843.9,soybean
23.96,79.03,962.1,soybean
22.54,86.12,133.1,chickpea
11.05,83.06,273.5,wheat
17.74,73.32,388.8,potato
28.59,89.7,709.1,groundnut
23.26,82.03,112.8,mustard
20.81,48.59,304.4,sunflower
10.35,51.67,222.2,barley
26.91,89.28,1111.2,rice
19.39,75.33,366.7,potato
17.53,73.67,217.3,wheat
22.41,76.29,928.6,soybean
29.06,74.72,775.6,arhar
34.26,88.43,380.3,bajra
15.43,75.47,109.5,chickpea
28.88,52.88,508.8,moong
10.67,45.3,254.5,mustard
31.86,88.79,928.8,cotton
31.33,47.99,739.6,jowar
26.52,47.14,744.2,soybean
31.94,81.77,558.5,jowar
25.05,54.27,1682.5,sugarcane
15.67,63.35,257.3,potato
33.37,56.33,536.7,moong
23.91,82.69,71.6,cucumber
29.0,82.05,1160.2,sugarcane
30.12,43.55,1763.0,sugarcane
28.48,73.76,612.5,cotton
24.47,67.72,771.0,soybean
26.39,88.46,820.2,cotton
29.44,62.73,804.8,arhar
12.71,70.9,177.0,peas
27.68,85.49,756.8,okra
12.42,63.62,363.5,potato
22.9,78.55,945.7,arhar
34.91,77.95,1536.2,sugarcane
26.64,61.02,810.6,cotton
31.83,77.4,899.8,cotton
27.82,42.61,772.7,maize
25.78,45.74,652.0,cotton
23.22,40.55,183.4,chickpea
28.68,82.38,513.1,bajra
15.32,61.57,284.7,peas
14.72,73.53,140.5,wheat
22.79,76.02,760.9,arhar
31.88,58.52,553.2,moong
28.75,45.35,153.5,watermelon
30.61,72.29,705.0,okra
25.02,43.61,919.0,cotton
19.36,62.03,217.0,chickpea
25.92,62.6,486.1,moong
26.49,40.56,724.3,cotton
18.18,84.7,265.3,wheat
13.14,89.01,191.6,mustard
32.47,88.54,462.9,bajra
29.18,67.81,788.0,arhar
14.22,45.47,322.3,wheat
14.74,82.19,323.8,wheat
24.37,69.42,865.4,cotton
29.96,64.26,1484.5,sugarcane
34.03,56.52,1342.8,sugarcane
32.08,84.12,307.4,bajra
21.62,76.1,294.1,wheat
25.97,41.87,514.4,moong
24.56,76.59,941.0,cotton
27.34,67.69,949.8,cotton
32.25,82.24,873.8,cotton
18.5,81.21,235.3,wheat
24.01,75.22,722.9,cotton
29.14,44.24,815.7,arhar
15.46,70.07,244.0,potato
29.46,70.59,65.0,cucumber
30.27,71.29,753.6,cotton
32.14,54.22,701.7,okra
29.26,43.91,932.9,arhar
27.83,81.62,1161.7,sugarcane
25.24,62.72,775.5,groundnut
27.73,54.95,939.8,arhar
20.88,45.44,255.6,mustard
30.96,81.04,411.9,moong
27.08,81.81,410.5,moong
22.95,41.74,781.6,maize
20.44,50.18,208.9,wheat
27.66,45.35,378.5,bajra
15.42,73.69,162.3,barley
21.14,83.31,134.3,chickpea
15.91,79.34,294.3,peas
24.44,89.96,313.4,okra
26.13,69.67,189.8,watermelon
12.93,58.28,212.8,mustard
25.13,43.36,818.6,groundnut
29.18,67.71,137.1,cucumber
21.07,66.44,700.4,maize
25.49,72.74,914.1,arhar
17.67,53.82,178.0,mustard
20.79,62.97,71.0,mustard
29.16,56.14,620.7,groundnut
10.54,46.11,246.1,peas
32.68,88.79,123.5,watermelon
27.13,46.16,1638.8,sugarcane
20.52,62.06,427.5,sunflower
26.31,75.22,207.4,cucumber
30.62,59.59,1568.8,sugarcane
17.48,76.26,186.1,chickpea
29.22,40.76,558.1,maize
34.06,42.21,324.8,okra
28.61,73.15,655.9,maize
16.19,48.07,355.6,peas
27.7,58.93,113.5,cucumber
25.55,69.38,93.1,cucumber
30.68,75.27,1186.2,sugarcane
12.64,65.52,389.8,wheat
11.88,66.27,287.5,peas
28.96,82.9,912.7,soybean
33.83,89.97,672.4,okra
31.64,42.87,198.7,watermelon
24.11,59.48,708.6,arhar
32.83,41.61,701.3,cotton
27.05,69.27,605.2,jowar
29.65,46.76,631.9,cotton
34.81,71.83,439.2,okra
24.35,61.7,923.3,soybean
29.54,50.55,515.5,groundnut
27.24,83.01,1109.0,rice
27.62,87.72,1698.5,rice
29.44,51.76,598.0,sunflower
10.1,85.61,260.6,peas
29.97,57.12,495.7,jowar
28.76,78.96,639.4,jowar
25.96,61.81,132.4,watermelon
20.16,66.6,171.8,wheat
28.24,83.38,181.8,cucumber
32.81,75.43,1746.6,sugarcane
31.04,48.82,148.7,watermelon
27.2,88.12,803.1,cotton
29.53,48.15,363.3,sunflower
25.07,50.12,898.5,cotton
20.02,75.37,207.3,chickpea
25.91,88.25,804.4,maize
31.21,50.29,205.0,cucumber
11.59,73.51,202.1,barley
31.06,53.18,179.4,cucumber
25.86,43.04,905.0,arhar
25.76,84.69,1027.5,rice
17.77,76.97,249.0,mustard
31.23,68.88,621.6,jowar
24.12,52.19,965.1,rice
12.35,64.38,384.3,peas
30.12,68.79,942.9,cotton
17.11,56.56,304.9,wheat
28.93,59.59,532.3,moong
28.7,56.95,1091.7,rice
28.05,58.74,1295.1,rice
31.55,85.4,437.6,jowar
32.06,60.58,339.1,bajra
31.62,62.31,800.0,cotton
15.2,43.85,119.5,chickpea
26.11,69.12,186.9,watermelon
24.95,84.52,656.3,soybean
29.32,88.56,652.9,maize
27.63,48.43,761.2,maize
32.6,56.85,445.8,bajra
31.7,80.93,510.2,okra
10.73,81.51,292.5,mustard
12.27,86.54,388.3,peas
27.08,76.18,727.9,soybean
23.33,81.45,659.1,maize
31.76,89.96,734.4,okra
28.92,84.31,1566.5,rice
29.21,88.69,1533.6,rice
30.67,47.47,405.3,moong
25.53,64.77,1304.5,rice
27.17,59.63,1693.8,sugarcane
27.7,49.61,597.4,groundnut
28.51,55.54,897.0,groundnut
22.8,48.32,225.0,chickpea
30.02,54.41,94.0,watermelon
30.41,62.01,528.0,bajra
24.47,74.32,860.3,arhar
15.59,88.04,331.4,peas
17.87,82.97,145.3,wheat
27.37,67.83,334.6,sunflower
16.16,55.1,318.5,potato
18.18,61.81,198.4,wheat
25.32,43.57,625.2,soybean
13.69,89.25,205.7,wheat
13.94,43.09,122.2,mustard
28.51,48.38,558.2,jowar
29.87,50.16,477.8,moong
31.71,85.98,657.2,jowar
26.59,81.55,451.8,jowar
24.47,75.77,416.2,sunflower
24.65,66.16,246.0,chickpea
16.3,63.75,168.8,wheat
27.77,52.58,890.6,maize
16.08,59.48,291.0,wheat
25.83,43.51,310.5,okra
25.56,87.31,776.2,maize
18.48,49.48,217.2,wheat
23.19,43.01,874.1,maize
22.55,55.94,896.6,soybean
23.99,88.33,122.3,cucumber
16.9,88.65,399.4,potato
18.48,67.91,279.6,wheat
27.15,79.55,823.5,maize
19.8,41.22,293.1,wheat
27.78,44.86,755.0,soybean
29.16,70.84,591.4,moong
20.03,78.56,409.5,sunflower
29.7,73.13,949.1,arhar
19.48,45.54,256.6,potato
31.97,66.61,968.3,cotton
27.43,73.39,601.0,maize
22.44,78.3,853.2,maize
13.85,72.11,272.0,potato
28.31,48.01,1534.1,rice
29.12,47.32,392.6,moong
28.04,53.11,417.6,sunflower
29.06,40.89,351.1,moong
26.96,83.13,1038.8,rice
30.4,80.6,138.5,watermelon
30.67,61.68,1489.8,sugarcane
20.6,70.87,285.7,chickpea
18.78,73.65,282.6,potato
30.76,68.0,1749.3,sugarcane
10.21,54.04,344.1,peas
18.01,83.29,178.7,barley
29.88,40.9,726.4,soybean
31.92,75.38,527.3,jowar
28.03,84.98,458.0,sunflower
25.34,72.43,1255.4,rice
26.53,43.16,559.1,groundnut
26.15,55.56,701.2,maize
26.73,43.22,1449.0,sugarcane
22.48,77.23,297.7,chickpea
14.92,54.1,293.7,mustard
17.25,53.42,199.5,wheat
34.22,80.07,340.4,bajra
28.24,40.86,650.9,cotton
26.04,76.21,588.7,sunflower
24.98,62.48,621.9,maize
22.88,50.39,854.4,maize
22.43,63.41,972.2,soybean
29.08,80.94,503.0,groundnut
26.14,82.13,577.5,moong
25.34,48.12,635.2,arhar
32.47,78.52,454.3,bajra
32.81,43.42,601.3,cotton
27.54,44.89,349.4,okra
26.22,85.94,660.0,maize
30.85,51.99,624.9,jowar
17.68,40.42,363.7,peas
19.99,88.86,316.6,wheat
17.18,66.69,264.9,potato
24.96,40.41,684.0,okra
30.26,43.1,58.2,watermelon
24.6,40.45,815.2,cotton
28.41,75.91,62.5,watermelon
22.08,79.95,192.2,cucumber
26.47,58.21,178.2,watermelon
23.5,62.56,243.7,chickpea
23.25,81.92,138.6,mustard
13.81,72.8,186.3,potato
14.41,63.47,148.6,mustard
28.54,60.76,305.4,bajra
13.11,87.4,204.9,mustard
25.7,49.54,808.3,arhar
33.95,67.24,364.4,bajra
34.77,89.66,154.7,watermelon
16.22,66.69,157.2,peas
10.86,48.26,288.6,wheat
27.04,69.46,914.8,cotton
17.29,67.21,106.2,barley
27.69,78.48,749.0,groundnut
25.21,56.39,1788.3,rice
26.16,60.81,331.1,sunflower
21.08,62.86,185.2,chickpea
29.11,42.8,669.2,jowar
27.87,48.89,643.4,groundnut
24.64,65.72,1727.4,rice
29.76,78.07,687.3,cotton
24.17,81.79,1289.5,rice
21.68,74.86,328.2,sunflower
31.5,55.68,751.9,jowar
16.87,43.41,364.6,potato
25.48,78.31,195.7,cucumber
23.09,81.01,685.0,maize
26.78,49.02,910.3,soybean
29.27,40.25,878.9,soybean
28.28,43.44,593.8,bajra
25.18,59.56,92.6,cucumber
23.64,68.62,161.3,cucumber
17.5,56.54,277.5,mustard
30.75,64.86,416.0,moong
21.21,75.84,177.9,mustard
11.89,67.27,232.4,peas
16.98,49.08,95.9,chickpea
25.34,47.56,121.3,cucumber
25.59,77.24,669.0,maize
28.26,74.51,493.5,bajra
29.83,74.17,518.4,sunflower
16.52,79.09,255.0,peas
30.5,88.83,348.9,bajra
33.44,65.19,673.0,okra
33.44,48.61,451.0,okra
28.72,55.98,653.3,maize
15.14,43.13,322.5,wheat
29.3,78.79,669.4,soybean
26.89,59.23,884.3,soybean
11.56,89.51,262.5,wheat
29.9,54.78,1436.9,rice
26.92,87.76,836.8,soybean
24.79,41.43,190.5,mustard
29.64,83.52,562.1,jowar
29.25,54.61,819.2,cotton
27.04,41.7,630.1,arhar
27.97,42.7,393.9,moong
16.69,44.72,188.6,peas
15.28,47.76,229.3,wheat
24.25,63.92,306.5,okra
28.72,81.39,911.1,rice
25.09,86.86,410.4,okra
14.85,44.02,166.1,potato
20.77,54.26,117.6,barley
31.32,66.32,323.5,bajra
31.8,61.79,639.9,okra
19.64,48.37,127.6,wheat
25.87,59.49,500.6,bajra
29.92,66.84,499.2,jowar
30.65,86.77,784.1,jowar
30.84,60.58,715.8,okra
25.96,80.98,185.4,cucumber
28.05,57.38,517.0,groundnut
25.59,52.36,425.3,sunflower
20.83,72.17,171.7,chickpea
26.02,82.94,1581.2,sugarcane
27.03,69.45,931.1,rice
27.08,83.51,820.6,arhar
28.32,76.88,720.5,cotton
21.3,48.36,875.0,arhar
27.69,40.13,145.6,watermelon
25.68,47.64,496.8,moong
34.3,88.82,675.7,okra
16.52,41.56,151.1,barley
27.79,59.54,976.1,arhar
31.81,83.27,186.7,cucumber
34.6,66.64,482.7,bajra
30.55,87.28,212.2,cucumber
27.62,66.71,186.3,watermelon
26.03,43.26,595.2,groundnut
14.32,86.84,248.1,barley
19.59,74.06,225.1,barley
12.57,85.66,224.9,peas
34.99,56.68,497.0,moong
27.83,52.22,932.1,cotton
27.44,58.05,800.6,maize
16.55,56.33,350.7,peas
24.85,76.3,755.7,okra
16.18,54.3,288.8,potato
29.16,70.93,630.0,cotton
28.73,82.18,70.6,cucumber
26.92,43.11,91.6,watermelon
23.83,46.97,258.5,mustard
29.83,80.4,751.4,maize
24.28,63.52,151.4,chickpea
14.41,63.17,217.2,mustard
28.29,61.99,447.1,jowar
32.63,86.49,166.2,watermelon
20.32,44.54,274.6,barley
34.43,68.16,1229.0,sugarcane
28.5,87.73,1788.7,sugarcane
12.67,70.48,156.4,barley
14.01,63.42,370.4,peas
25.08,71.35,1775.6,sugarcane
30.26,57.39,614.1,jowar
26.68,88.48,756.6,maize
21.51,64.99,221.9,barley
27.94,72.1,742.5,cotton
26.06,84.74,58.7,watermelon
16.62,61.79,211.0,potato
25.36,63.36,518.2,maize
30.41,60.49,1198.2,sugarcane
26.66,71.69,874.8,maize
26.8,89.83,93.6,watermelon
20.12,71.27,389.5,sunflower
12.64,77.59,182.9,potato
21.03,89.24,214.7,wheat
32.2,86.96,425.3,moong
10.2,58.29,261.1,barley
15.56,73.57,389.2,potato
14.84,83.82,151.9,peas
22.69,82.66,103.9,chickpea
30.66,58.42,420.6,bajra
28.08,71.93,580.6,groundnut
21.06,41.88,441.5,sunflower
24.17,70.69,986.0,soybean
16.04,72.58,308.9,peas
18.22,73.35,391.2,potato
10.9,78.24,398.0,peas
32.8,74.02,510.2,moong
30.64,76.16,477.5,jowar
30.55,57.77,184.3,watermelon
20.52,55.86,687.5,arhar
16.9,45.37,284.9,mustard
26.41,51.15,503.6,moong
15.79,43.64,113.9,chickpea
33.52,42.64,327.4,bajra
25.73,64.38,487.2,okra
25.71,58.41,704.6,maize
26.13,51.46,1581.3,sugarcane
27.25,86.96,1243.1,rice
29.85,76.4,583.8,okra
16.15,66.34,370.8,peas
24.14,70.54,225.1,chickpea
21.59,77.12,592.7,sunflower
32.9,71.23,621.9,okra
13.68,59.25,202.5,wheat
22.33,50.91,112.3,chickpea
32.16,83.85,95.5,watermelon
12.36,84.06,236.8,peas
11.99,63.89,212.9,mustard
20.29,51.37,790.1,arhar
33.51,60.28,564.5,moong
27.75,75.51,58.3,watermelon
12.61,79.21,375.1,potato
27.29,81.14,615.5,jowar
13.51,70.24,291.6,barley
27.55,50.51,660.8,cotton
23.77,55.69,371.4,sunflower
22.51,61.42,169.4,mustard
23.26,50.88,727.8,maize
25.46,58.89,567.4,maize
22.45,65.16,184.0,cucumber
25.9,84.35,695.4,cotton
28.62,55.88,841.5,cotton
16.01,72.27,107.4,chickpea
27.53,57.47,511.7,jowar
17.86,54.85,312.5,peas
23.84,70.68,113.6,cucumber
16.49,70.8,234.8,peas
20.23,85.7,104.1,chickpea
28.34,68.13,825.0,arhar
27.55,72.93,803.9,groundnut
18.24,51.88,201.4,potato
34.66,41.84,1658.3,sugarcane
27.53,78.69,73.0,watermelon
15.16,87.04,242.1,barley
31.72,53.74,443.3,moong
24.23,43.66,1679.6,rice
16.7,48.26,185.7,wheat
27.94,48.71,334.3,okra
16.41,88.89,89.6,chickpea
34.49,89.92,174.2,watermelon
25.82,65.38,107.0,watermelon
12.01,65.71,225.6,peas
29.51,44.14,458.4,sunflower
24.36,42.92,262.3,mustard
29.97,71.98,590.3,sunflower
15.23,58.16,181.0,wheat
23.94,76.52,699.0,soybean
25.15,40.53,812.4,groundnut
19.25,83.26,163.1,potato
25.14,62.09,117.3,watermelon
17.27,56.39,158.4,barley
28.33,51.44,1750.7,rice
24.28,45.97,240.2,cucumber
11.79,44.79,262.7,peas
15.6,64.15,98.0,barley
28.83,63.22,538.8,bajra
29.49,79.08,500.7,groundnut
32.95,80.35,556.8,bajra
21.16,65.98,291.1,mustard
28.68,63.53,401.5,bajra
23.64,78.15,653.4,soybean
20.8,76.96,439.2,sunflower
31.07,79.03,648.8,jowar
31.79,79.36,910.3,cotton
33.58,79.32,503.0,bajra
19.2,51.93,163.4,chickpea
18.57,57.84,80.6,chickpea
24.73,56.63,1549.3,rice
24.08,81.89,547.2,maize
29.1,75.95,682.5,soybean
28.17,75.38,360.1,sunflower
30.07,50.32,193.4,cucumber
28.57,75.0,150.6,watermelon
16.82,85.27,162.3,peas
26.37,78.87,781.1,arhar
30.39,60.21,97.6,watermelon
31.67,81.16,516.6,moong
34.26,70.53,1799.5,sugarcane
26.79,70.23,618.3,cotton
16.54,50.55,195.6,barley
30.0,79.89,515.4,jowar
26.68,41.29,991.2,arhar
18.6,52.47,142.4,chickpea
24.46,59.58,255.3,chickpea
23.54,81.8,236.9,chickpea
23.42,43.74,832.3,maize
20.11,43.13,269.1,barley
11.56,59.18,231.6,mustard
22.4,59.66,117.5,chickpea
31.74,75.55,543.6,okra
24.75,58.08,838.1,soybean
28.02,65.32,475.9,bajra
25.66,82.86,758.2,groundnut
30.39,56.81,457.1,jowar
29.04,77.31,1520.6,rice
21.11,44.14,221.3,wheat
26.98,64.34,177.1,cucumber
31.8,53.68,454.6,bajra
26.56,50.05,1434.1,sugarcane
29.76,48.67,796.2,soybean
25.54,82.8,723.9,cotton
22.32,54.99,411.0,sunflower
28.35,44.23,1052.7,rice
19.91,70.11,179.1,barley
14.05,44.74,132.1,mustard
14.66,58.27,158.5,potato
31.89,78.84,425.8,jowar
28.99,83.31,381.2,okra
11.26,71.8,229.2,barley
17.94,82.23,285.4,barley
25.55,60.01,541.9,groundnut
22.52,42.56,204.8,cucumber
29.31,43.17,1566.2,sugarcane
27.62,63.88,793.5,groundnut
19.08,58.63,240.6,potato
11.39,51.99,290.8,mustard
21.06,74.34,839.9,arhar
20.54,60.63,286.3,wheat
25.28,59.43,782.9,okra
33.15,72.56,394.1,bajra
28.6,46.49,969.0,cotton
28.22,69.74,857.5,groundnut
27.67,60.78,638.0,jowar
16.06,61.46,210.6,peas
20.3,59.46,154.9,wheat
26.98,42.86,651.8,maize
24.35,54.93,1771.1,rice
10.62,84.46,163.1,wheat
25.95,79.83,1631.3,sugarcane
32.52,68.7,1360.5,sugarcane
29.33,41.7,607.5,arhar
27.47,69.8,1120.6,rice
31.72,79.8,376.7,moong
24.62,85.54,1240.4,rice
12.53,69.62,399.9,peas
13.82,50.23,174.7,peas
28.11,57.59,758.4,cotton
28.02,44.58,1003.6,rice
29.12,45.0,95.7,cucumber
31.9,85.54,842.0,cotton
10.25,55.26,93.2,mustard
27.58,51.92,698.0,maize
26.82,87.07,503.3,sunflower
20.71,82.71,197.5,barley
22.52,63.76,811.6,soybean
31.76,65.98,114.3,cucumber
27.36,47.78,774.3,okra
27.99,50.54,1108.7,sugarcane
23.25,88.95,206.1,mustard
24.85,61.66,629.7,soybean
28.84,74.31,1254.1,sugarcane
29.03,67.82,1478.1,rice
29.42,51.49,939.9,soybean
